part_id,category,brand,name,platforms,wheel_diameter,requires_min_wheel_diameter,season,comfort_bias,grip_bias,winter_bias,braking_bias,safety_delta,cost,notes
wheel_17_flow,wheel,Enkei,TS-5 17x8,zn8|zd8,17,,all,0.05,0.18,0.22,0.0,0.0,780,"Lightweight 17-inch wheel that keeps winter and daily options open."
wheel_18_forged,wheel,OZ,Ultraleggera 18x8.5,zn8|zd8,18,,all,-0.03,0.24,-0.04,0.05,-0.01,1280,"18-inch wheel for street and brake clearance packages."
tire_winter_17,tire,Michelin,X-Ice Snow 225/45R17,zn8|zd8,17,,winter,0.08,0.02,0.44,0.0,0.03,920,"Dedicated winter tire with soft compound and snow traction."
tire_daily_17,tire,Continental,ExtremeContact DWS06 Plus 225/45R17,zn8|zd8,17,,all,0.1,0.14,0.18,0.0,0.02,860,"17-inch daily performance tire with better cold-weather flexibility."
tire_daily_18,tire,Continental,ExtremeContact Sport 02 225/40R18,zn8|zd8,18,,summer,0.02,0.28,-0.12,0.02,0.0,980,"Street-focused daily performance tire."
tire_grip_17,tire,Falken,Azenis RT660 225/45R17,zn8|zd8,17,,summer,-0.08,0.38,-0.22,0.04,-0.02,760,"Budget-friendly 200TW grip tire."
brake_daily_pad,brake,Project Mu,HC+ Street Pads,zn8|zd8,,17,all,0.08,0.12,0.0,0.16,0.01,380,"Daily-friendly pad upgrade with better pedal confidence."
brake_ss_lines,brake,Goodridge,Stainless Brake Lines,zn8|zd8,,17,all,0.0,0.02,0.0,0.08,0.0,180,"Supports more consistent pedal feel."
brake_fluid,brake,Motul,RBF600 Fluid,zn8|zd8,,17,all,0.0,0.01,0.0,0.06,0.0,45,"Baseline supporting fluid for all brake-heavy packages."
brake_bbk_street,brake,Brembo,Street BBK 4-Piston Front,zn8|zd8,,18,all,-0.02,0.08,-0.06,0.34,-0.02,2140,"Requires 18-inch wheel clearance."
suspension_coilover,suspension,KW,V1 Street Coilovers,zn8|zd8,,17,all,-0.12,0.22,-0.18,0.02,-0.03,1690,"Street-performance coilover with moderate ride-height drop."
suspension_comfort,suspension,Bilstein,B6 Dampers + Mild Springs,zn8|zd8,,17,all,0.16,0.08,0.02,0.0,0.02,1180,"Comfort-leaning suspension refresh with mild body control gains."
alignment_camber_front,suspension,SPL,Front Camber Bolts,zn8|zd8,,17,all,-0.02,0.12,-0.04,0.0,0.0,160,"Helpful for tire longevity and front-end response."
